C�DIGO;C�DIGO �RG�O;ANO M�S;C�DIGO RUBRICA;DESC RUBRICA;N�MERO SEQUENCIAL;VALOR;REND/DESC/TOTAL:
1;57202;199301;71182;ASSOC.PROCURADORES;1;14000;2
1;57202;199301;72507;ASSISTENCIA GEAP;3;1003708,67;2
1;57202;199301;73;FERIAS - ANTECIPACAO;2;165144;2
1;57202;199301;50;DIFERENCA INDIVIDUAL;1;4080348;1
1;57202;199301;253;DIFERENCA INDIVIDUAL L.7923/89;1;557588,46;1
1;57202;199301;72399;RESTAURANTE - TICKET/INSS;1;65456,68;2
1;57202;199301;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;21153625,2;1
1;57202;199301;220;FERIAS - ADICIONAL 1/3;6;2458935;1
1;57202;199301;98002;CONT. PLANO SEGURIDADE SOCIAL;6;25302;1
1;57202;199301;98002;CONT. PLANO SEGURIDADE SOCIAL;7;108269;1
1;57202;199301;98002;CONT. PLANO SEGURIDADE SOCIAL;8;108269;1
1;57202;199301;98002;CONT. PLANO SEGURIDADE SOCIAL;9;144359;1
1;57202;199301;71157;PARTICIPACAO - GEAP;1;478997;2
1;57202;199301;188;REPR.MENSAL DEC LEI 2333/87 AT;1;6545668;1
1;57202;199301;71162;PECULIO - FACULT PART;1;798266,54;2
1;57202;199301;99001;IMPOSTO DE RENDA RETIDO FONTE;8;500550;1
1;57202;199301;25;OPCAO DAS - PESSOAL PERMANENTE;0;1320112,75;1
1;57202;199301;620;OPCAO - GADF/ATIVO-LD.13/92;0;5712431,67;1
1;57202;199301;15;REPRESENTACAO MENSAL;0;1680143,5;1
1;57202;199301;1;VENCIMENTO BASICO;0;6545668;1
1;57202;199301;240;RETRIB.ADIC.VARIAVEL-RAV-ATIVO;0;130913,36;1
1;57202;199301;241;RETRIB.ADIC.VARIAVEL-RAV/APOS;0;2520844,03;1
1;57202;199301;246;PROLABORE DE EXITO - APOS;0;8766507;1
1;57202;199301;13;ANUENIO - ART.244, LEI 8112/90;0;130913,36;1
1;57202;199301;98002;CONT. PLANO SEGURIDADE SOCIAL;0;2520844,03;2
1;57202;199301;99001;IMPOSTO DE RENDA RETIDO FONTE;0;8766507;2
1;57202;199301;99997;TOTAL BRUTO;0;51072182,94;3
1;57202;199301;99998;TOTAL DESCONTO;0;13812923,92;3
1;57202;199301;99999;TOTAL LIQUIDO;0;37259259,02;3
1;57202;199302;71182;ASSOC.PROCURADORES;1;14000;2
1;57202;199302;72507;ASSISTENCIA GEAP;3;1114893,3;2
1;57202;199302;73;FERIAS - ANTECIPACAO;2;165144;2
1;57202;199302;50;DIFERENCA INDIVIDUAL;1;4080348;1
1;57202;199302;253;DIFERENCA INDIVIDUAL L.7923/89;1;1483185,36;1
1;57202;199302;72399;RESTAURANTE - TICKET/INSS;1;65456,68;2
1;57202;199302;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;22297064,4;1
1;57202;199302;188;REPR.MENSAL DEC LEI 2333/87 AT;1;6545668;1
1;57202;199302;71162;PECULIO - FACULT PART;1;798266,54;2
1;57202;199302;253;DIFERENCA INDIVIDUAL L.7923/89;6;5357689,55;1
1;57202;199302;72507;ASSISTENCIA GEAP;6;107153,8;2
1;57202;199302;71157;PARTICIPACAO - GEAP;1;435432,8;2
1;57202;199302;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;2;494880;2
1;57202;199302;13;ANUENIO - ART.244, LEI 8112/90;1;130913,36;1
1;57202;199302;13;ANUENIO - ART.244, LEI 8112/90;6;350011,46;1
1;57202;199302;24;SUBSTITUICAO/INTERINO;6;110515,81;1
1;57202;199302;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;65456,68;2
1;57202;199302;99001;IMPOSTO DE RENDA RETIDO FONTE;8;775490;1
1;57202;199302;25;OPCAO DAS - PESSOAL PERMANENTE;0;1320112,75;1
1;57202;199302;620;OPCAO - GADF/ATIVO-LD.13/92;0;5712431,67;1
1;57202;199302;15;REPRESENTACAO MENSAL;0;1680143,5;1
1;57202;199302;1;VENCIMENTO BASICO;0;6545668;1
1;57202;199302;13;ANUENIO - ART.244, LEI 8112/90;0;130913,36;1
1;57202;199302;98002;CONT. PLANO SEGURIDADE SOCIAL;0;3001934,01;2
1;57202;199302;99001;IMPOSTO DE RENDA RETIDO FONTE;0;9778736;2
1;57202;199302;72507;ASSISTENCIA GEAP;3;129578,64;2
1;57202;199302;72399;RESTAURANTE - TICKET/INSS;1;31915,92;2
1;57202;199302;188;REPR.MENSAL DEC LEI 2333/87 AT;1;3191592;1
1;57202;199302;1;VENCIMENTO BASICO;0;3191592;1
1;57202;199302;13;ANUENIO - ART.244, LEI 8112/90;0;63831,84;1
1;57202;199302;98002;CONT. PLANO SEGURIDADE SOCIAL;0;388735,91;2
1;57202;199302;99001;IMPOSTO DE RENDA RETIDO FONTE;0;1522550;2
1;57202;199302;13;ANUENIO - ART.244, LEI 8112/90;1;31915,92;1
1;57202;199302;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;15957,96;2
1;57202;199302;99997;TOTAL BRUTO;1;62999086,98;3
1;57202;199302;99998;TOTAL DESCONTO;1;18130092,24;3
1;57202;199302;99999;TOTAL LIQUIDO;1;44868994,74;3
1;57202;199303;71182;ASSOC.PROCURADORES;1;14000;2
1;57202;199303;72507;ASSISTENCIA GEAP;3;1256799,55;2
1;57202;199303;73;FERIAS - ANTECIPACAO;2;165144;2
