CÓDIGO;RUBRICA;ABATE TETO C.F.ATÉ JAN2004;ABATE TETO C.F. A PARTIR FEV2004
00001;VENCIMENTO BASICO;X;X
00002;SALARIO PESSOAL  CONTRATADO;X;X
00003;SALARIO - CLT;X;X
00004;VENCIMENTO DAS/NES;X;X
00005;PROVENTO BASICO;X;X
00006;PART.CONST.ADM-FISC. CLT;X;X
00007;VANT ART 180 L.1711/52 FG/GR;X;X
00008;GRAT.ADIC.PES.DISPONIVEL/L3780;X;X
00009;VANT.PESSOAL NOM IDENTIFIC-CLT;;X
00010;ARREDONDAMENTO DO LIQUIDO CLT;X;X
00011;SUSPENSAO CONV.MULTA L.8112/90;;
00012;ADIC TEMPO SERVICO RM JURIDICO;;X
00013;ANUENIO - ART.244, LEI 8112/90;;X
00014;GRAT.DE NIVEL SUPERIOR - ATIVO;X;X
00015;REPRESENTACAO MENSAL;X;X
00016;HORAS SUPLEMENTARES - CLT;;X
00017;GRAT.ADIC.T.SERV.-APOS.(DAMF);;X
00018;ANUENIO-ART.244,LEI 8112/90 AP;;X
00019;GRAT.DE NIV.SUP.APOS/AGREGADO;X;X
00020;ADIC.TEMPO SERV.RM JURID.AGREG;;X
00021;ADICIONAL DE TURNO CLT;X;X
00022;GRATIFICACAO DE INTERIORIZACAO;X;X
00023;GRATIFIC. ATIVIDADE PENOSA CLT;;X
00024;SUBSTITUICAO/INTERINO;X;X
00025;OPCAO DAS - PESSOAL PERMANENTE;X;X
00026;OPCAO 55% DAS-PES.TEMPORARIO;X;X
00027;GRAT.DED.EXCLUSIVA-SUB JUDICE;X;X
00028;ADICIONAL NOTURNO;;X
00029;ADIC TEMPO SERVICO RM JURIDICO;;X
00030;COMPLEMENTO SALARIO MINIMO;X;X
00031;COMPLEMENTO SAL.MINIMO - APOS.;X;X
00032;VANTAGEM ARTIGO 180 L 1711/52;X;X
00033;ADICIONAL NOTURNO REQUISIT.CLT;;
00034;VANT. ART.184 INC II L.1711/52;X;X
00035;GRATIF. RAIO X - CLT;;X
00036;GRAT.DE PRODUTIV.SUB-SUDICE;X;X
00037;VANT.PESS.ART.2 L.7.834/89 AT;;X
00038;GRATIF. RAIO X-APOS;;X
00039;VANT.ART.184 INC I LEI 1711/52;X;X
00040;GAE ART. 184 INC I L.1711/52;X;X
00041;ART.184 I LEI 1711/52-ANUENIO;;X
00042;ACERTO AD.INSALUBRIDADE APOS;;X
00043;GRAT. REPRES.ATIV.DIPLOMATICA;;
00044;GRAT.DE APONTADOR-CLT;X;X
00045;INCENTIVO FUNCIONAL INATIVO;;
00046;ACERTO AD.DE PERICULOSIDADE AP;;X
00047;ACERTO DE FERIAS - APOSENTADO;X;X
00048;RET.MED.RESIDENTE HOSP. UNIV.;X;X
00049;RETRIB.BASICA-VENC/SAL.EXTER;X;X
00050;DIFERENCA INDIVIDUAL;X;X
00051;LIC.TRAT.SAUDE PRIM. 15 DIAS;X;X
00052;AUXILIO DOENCA-EST;X;X
00053;ADICIONAL DE INSALUBRIDADE;;
00054;GRAT.P/CHEFIA OU COORD.CURSO;X;X
00055;AUXILIO FUNERAL-ESTATUTARIO;;
00056;AUXILIO FUNERAL-APOSENTADO;;
00057;BOLSA DE ESTUDO CLT/EMPREGADO;;
00058;EXERC. ANTERIOR ATIVO;;
00059;BOLSA DE ESTAGIO  DEC.87497/82;X;X
00060;GRATIFICACAO POR ENCARGO DAI;X;X
00061;GRAT.COMPLEMENTAR DAI-DL1529;X;X
00062;GRAT.P/PROD.SUPLEMENTAR(DIN);X;X
00063;PAG.EXERC.ANTERIORES - PSS;;
00064;GRATIFICAÇÃO DE RAIO X;;X
00065;GRAT.EXERC.DETER.ZONAS/LOCAIS;X;X
00066;GRAT.P/ENCARGO CURSO/CONCURSO;X;X
00067;ADIC. DE PERICULOSIDADE;;
00068;PROVENTO - HORA AULA;X;X
00069;AUXILIO MORADIA CLT;X;X
00070;GRAT.P/REPRESENTACAO GABINETE;X;X
00071;GRAT.PRODUTIVIDADE SUB-SUDICE;X;X
00072;FERIAS ANTECIPADAS-PES.TEMPOR.;;
00073;FERIAS - ANTECIPACAO;;
00074;AVISO PREVIO ANT. RESCISAO CLT;;
00075;FERIAS INDENIZADAS/PROPORC.;;
00076;FERIAS INDENIZADAS VENCIDAS;;
00077;FERIAS - ABONO PECUNIARIO;;
00078;PARC INCORPORADA LEI 6732/79;x;x
00079;INDENIZACAO DE TRANSPORTE;;
00080;ADIC.P/SERV.EXTRAORDINARIO-EST;;X
00081;ADIC.P/SERV.EXTRAORDINARIO-CLT;;X
00082;ADIC.P/SERV.EXTRAORD.NOTURNO;;
00083;FERIAS INDENIZ.(F.VIG.CONT)CLT;;
00084;FERIAS- EMPREGADOS ADICION CLT;X;X
00085;PENSAO (CONVERSAO);X;X
00086;SALARIO MATERNIDADE;X;X
00087;GRAT. ATIV. EXECUT - GAE/GOE;X;X
00088;SALARIO FAMILIA CLT;;
00089;SALARIO FAMILIA PENSIONISTA;;
00090;SALARIO FAMILIA - APOSENTADO;;
00091;SALARIO MATERN. INDENIZ.  CLT;;
00092;SALARIO FAMILIA;;
00093;13 INDENIZADO S/AVISO PREV CLT;;
00094;13. SALARIO/CLT;;
00095;ADIANT.13. SALARIO-CLT;;
00096;13. SALARIO PROPORCIONAL-CLT;;
